vac1daily	vac2daily	vac1dailyCum	vac2dailyCum
432	12	6.28571428	18599.99999956	12036.00000001
433	10.71428572	14.14285715	18610.71428528	12050.14285716
434	10.71428572	14.14285715	18621.428571	12064.28571431
435	10.71428572	14.14285715	18632.14285672	12078.42857146
436	10.71428572	14.14285715	18642.85714244	12092.57142861
437	10.71428572	14.14285715	18653.57142816	12106.71428576
438	10.71428572	14.14285715	18664.28571388	12120.85714291
439	10.71428572	14.14285715	18674.9999996	12135.00000006
440	9.85714285	12.42857143	18684.85714245	12147.42857149
441	9.85714285	12.42857143	18694.7142853	12159.85714292
442	9.85714285	12.42857143	18704.57142815	12172.28571435
443	9.85714285	12.42857143	18714.428571	12184.71428578
444	9.85714285	12.42857143	18724.28571385	12197.14285721
445	9.85714285	12.42857143	18734.1428567	12209.57142864
446	9.85714285	12.42857143	18743.99999955	12222.00000007
447	7	11.42857143	18750.99999955	12233.4285715
448	7	11.42857143	18757.99999955	12244.85714293
449	7	11.42857143	18764.99999955	12256.28571436
450	7	11.42857143	18771.99999955	12267.71428579
451	7	11.42857143	18778.99999955	12279.14285722
452	7	11.42857143	18785.99999955	12290.57142865
453	7	11.42857143	18792.99999955	12302.00000008
454	8	8.85714285	18800.99999955	12310.85714293
455	8	8.85714285	18808.99999955	12319.71428578
456	8	8.85714285	18816.99999955	12328.57142863
457	8	8.85714285	18824.99999955	12337.42857148
458	8	8.85714285	18832.99999955	12346.28571433
459	8	8.85714285	18840.99999955	12355.14285718
460	8	8.85714285	18848.99999955	12364.00000003
461	5.57142857	7.42857143	18854.57142812	12371.42857146
462	5.57142857	7.42857143	18860.14285669	12378.85714289
463	5.57142857	7.42857143	18865.71428526	12386.28571432
464	5.57142857	7.42857143	18871.28571383	12393.71428575
465	5.57142857	7.42857143	18876.8571424	12401.14285718
466	5.57142857	7.42857143	18882.42857097	12408.57142861
467	5.57142857	7.42857143	18887.99999954	12416.00000004
468	8.71428572	5.85714285	18896.71428526	12421.85714289
469	8.71428572	5.85714285	18905.42857098	12427.71428574
470	8.71428572	5.85714285	18914.1428567	12433.57142859
471	8.71428572	5.85714285	18922.85714242	12439.42857144
472	8.71428572	5.85714285	18931.57142814	12445.28571429
473	8.71428572	5.85714285	18940.28571386	12451.14285714
474	8.71428572	5.85714285	18948.99999958	12456.99999999
475	5.57142857	4	18954.57142815	12460.99999999
476	5.57142857	4	18960.14285672	12464.99999999
477	5.57142857	4	18965.71428529	12468.99999999
478	5.57142857	4	18971.28571386	12472.99999999
479	5.57142857	4	18976.85714243	12476.99999999
480	5.57142857	4	18982.428571	12480.99999999
481	5.57142857	4	18987.99999957	12484.99999999
482	6.42857143	6.85714285	18994.428571	12491.85714284
483	6.42857143	6.85714285	19000.85714243	12498.71428569
484	6.42857143	6.85714285	19007.28571386	12505.57142854
485	6.42857143	6.85714285	19013.71428529	12512.42857139
486	6.42857143	6.85714285	19020.14285672	12519.28571424
487	6.42857143	6.85714285	19026.57142815	12526.14285709
488	6.42857143	6.85714285	19032.99999958	12532.99999994
489	7.14285715	6.42857143	19040.14285673	12539.42857137
490	7.14285715	6.42857143	19047.28571388	12545.8571428
491	7.14285715	6.42857143	19054.42857103	12552.28571423
492	7.14285715	6.42857143	19061.57142818	12558.71428566
493	7.14285715	6.42857143	19068.71428533	12565.14285709
494	7.14285715	6.42857143	19075.85714248	12571.57142852
495	7.14285715	6.42857143	19082.99999963	12577.99999995
496	14.14285715	6.57142857	19097.14285678	12584.57142852
497	14.14285715	6.57142857	19111.28571393	12591.14285709
498	14.14285715	6.57142857	19125.42857108	12597.71428566
499	14.14285715	6.57142857	19139.57142823	12604.28571423
500	14.14285715	6.57142857	19153.71428538	12610.8571428
501	14.14285715	6.57142857	19167.85714253	12617.42857137
502	14.14285715	6.57142857	19181.99999968	12623.99999994
503	11.57142857	7.57142857	19193.57142825	12631.57142851
504	11.57142857	7.57142857	19205.14285682	12639.14285708
505	11.57142857	7.57142857	19216.71428539	12646.71428565
506	11.57142857	7.57142857	19228.28571396	12654.28571422
507	11.57142857	7.57142857	19239.85714253	12661.85714279
508	11.57142857	7.57142857	19251.4285711	12669.42857136
509	11.57142857	7.57142857	19262.99999967	12676.99999993
510	8.57142857	4.85714285	19271.57142824	12681.85714278
